"Subtribe","Species Name","Authority","Synonymous","Chromosome number  (2n)","Chromosome number  (n)","Chromosome number  Reference","Genome Size (1C (pg))","Genome Size Reference"
"Catasetinae","Genus Catasetum Rich ex. Kunth (194 species)",,,,,,,
"Catasetinae","Catasetum bertioguense ","G.A.Romero & Campacci",,54,"NA","De Oliveira et al. (2013)","NA",
"Catasetinae","Catasetum galeritum","Rchb.f.","Catasetum galeritum var. pachyglossum Rchb.f. ",54,"NA","De Oliveira et al. (2013)","NA",
"Catasetinae","Catasetum macrocarpum","Rich. ex Kunth","Catasetum claveringii Lindl. ex Van Geel; Catasetum floribundum Hook.; Catasetum macrocarpum var. bellum Rchb.f.; Catasetum macrocarpum var. carnosissimum Cogn.; Catasetum macrocarpum var. chrysanthum L.Linden & Rodigas; Catasetum tridentatum Hook.; Catasetum tridentatum var. viridiflorum Hook.; Cypripedium cothurnum Vell.; Paphiopedilum cothurnum (Vell.) Pfitzer ",54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum macrocarpum","Rich. ex Kunth","Catasetum claveringii Lindl. ex Van Geel; Catasetum floribundum Hook.; Catasetum macrocarpum var. bellum Rchb.f.; Catasetum macrocarpum var. carnosissimum Cogn.; Catasetum macrocarpum var. chrysanthum L.Linden & Rodigas; Catasetum tridentatum Hook.; Catasetum tridentatum var. viridiflorum Hook.; Cypripedium cothurnum Vell.; Paphiopedilum cothurnum (Vell.) Pfitzer ",54,"NA","Félix & Guerra (2000)","NA",
"Catasetinae","Catasetum macrocarpum","Rich. ex Kunth","Catasetum claveringii Lindl. ex Van Geel; Catasetum floribundum Hook.; Catasetum macrocarpum var. bellum Rchb.f.; Catasetum macrocarpum var. carnosissimum Cogn.; Catasetum macrocarpum var. chrysanthum L.Linden & Rodigas; Catasetum tridentatum Hook.; Catasetum tridentatum var. viridiflorum Hook.; Cypripedium cothurnum Vell.; Paphiopedilum cothurnum (Vell.) Pfitzer ",56,"NA","De Oliveira et al. (2013)","NA",
"Catasetinae","Catasetum macrocarpum","Rich. ex Kunth","Catasetum claveringii Lindl. ex Van Geel; Catasetum floribundum Hook.; Catasetum macrocarpum var. bellum Rchb.f.; Catasetum macrocarpum var. carnosissimum Cogn.; Catasetum macrocarpum var. chrysanthum L.Linden & Rodigas; Catasetum tridentatum Hook.; Catasetum tridentatum var. viridiflorum Hook.; Cypripedium cothurnum Vell.; Paphiopedilum cothurnum (Vell.) Pfitzer ",56,"NA","Blumenschein (1960)","NA",
"Catasetinae","Catasetum macrocarpum","Rich. ex Kunth","Catasetum claveringii Lindl. ex Van Geel; Catasetum floribundum Hook.; Catasetum macrocarpum var. bellum Rchb.f.; Catasetum macrocarpum var. carnosissimum Cogn.; Catasetum macrocarpum var. chrysanthum L.Linden & Rodigas; Catasetum tridentatum Hook.; Catasetum tridentatum var. viridiflorum Hook.; Cypripedium cothurnum Vell.; Paphiopedilum cothurnum (Vell.) Pfitzer ",72,"NA","Borges (2015)","NA",
"Catasetinae","Catasetum barbatum","(Lindl.) Lindl.","Catasetum brachybulbon Schltr.; Catasetum buchtienii Kraenzl.; Catasetum comosum Cogn.; Catasetum crinitum L. Linden & Rchb. f.; Catasetum polydactylon Schltr.; Catasetum proboscideum Lindl.; Catasetum spinosum (Hook.) Lindl.; Catasetum variabile Barb.Rodr.; Myanthus barbatus Lindl.; Myanthus barbatus var. immaculatus Knowles & Westc.; Myanthus spinosus Hook. ",54,"NA","Félix & Guerra (2000)","NA",
"Catasetinae","Catasetum barbatum","(Lindl.) Lindl.","Catasetum brachybulbon Schltr.; Catasetum buchtienii Kraenzl.; Catasetum comosum Cogn.; Catasetum crinitum L. Linden & Rchb. f.; Catasetum polydactylon Schltr.; Catasetum proboscideum Lindl.; Catasetum spinosum (Hook.) Lindl.; Catasetum variabile Barb.Rodr.; Myanthus barbatus Lindl.; Myanthus barbatus var. immaculatus Knowles & Westc.; Myanthus spinosus Hook. ",54,"NA","De Oliveira et al. (2013)","NA",
